ticker,theme,shortName,marketCap,trailingPE,forwardPE,totalRevenue,revenueGrowth,grossMargins,operatingMargins,profitMargins,freeCashflow,totalCash,totalDebt,fiftyTwoWeekHigh,fiftyTwoWeekLow,currentPrice
NVDA,ai,NVIDIA Corporation,4912260841472,31.058191,15.80593,253491003392,0.852,0.74144995,0.65596,0.62966,46335873024,53171998720,12814000128,236.54,164.07,202.81
AMD,ai,,808386560000,164.15895,36.81913,37454000128,0.378,0.5306,0.14396,0.13374,7173374976,12346999808,3871000064,584.73,149.22,495.76
AVGO,ai,Broadcom Inc.,1764229775360,61.701332,19.098053,75464998912,0.479,0.76284,0.48988,0.38848,27212249088,19627999232,64907001856,495.0,273.0,370.825
ARM,ai,Arm Holdings plc,285379985408,310.68604,86.76127,4920000000,0.201,0.97541,0.2953,0.18374,750499968,3600999936,491000000,452.7,100.02,267.19
MRVL,ai,"Marvell Technology, Inc.",169348677632,64.838486,30.435202,8717100032,0.276,0.51502997,0.14479999,0.28986,2269700096,3843599872,5277199872,329.88,61.44,188.68
MU,ai,,958798299136,19.193987,5.630772,90273996800,3.457,0.72569,0.80370003,0.55906,7639499776,26022000640,6376000000,1255.0,103.38,848.95
TSM,ai,Taiwan Semiconductor Manufactur,2066135646208,29.840448,18.759014,4440492343296,0.36,0.6423,0.60344005,0.49923,739057991680,3518013112320,982447030272,479.0,223.7,398.37
ASML,ai,ASML Holding N.V. - New York Re,671245467648,60.240604,30.32463,35327500288,0.213,0.52733004,0.37057,0.30114,8437675008,7581499904,1984400000,1999.96,683.48,1747.58
AMAT,ai,"Applied Materials, Inc.",420528521216,49.733334,31.62976,29024000000,0.114,0.48956,0.31896,0.29314,3040375040,8240999936,7267999744,739.67,154.47,529.66
LRCX,ai,Lam Research Corporation,391803895808,59.224953,38.766644,21681844224,0.238,0.49979,0.35042998,0.30938998,4352341504,4750936064,3734479104,438.5,90.94,313.3
KLAC,ai,KLA Corporation,277910061056,60.269123,41.513813,13096660992,0.115,0.61446,0.41215,0.35661998,2890187008,4957938176,6145359872,307.37,83.224,212.75
QCOM,ai,QUALCOMM Incorporated,181056110592,18.49085,15.542775,44486000640,-0.035,0.54799,0.22059,0.22308001,9589624832,9799000064,15269999616,259.92,121.99,171.78
SNPS,ai,"Synopsys, Inc.",73580716032,87.73402,22.249273,8679379968,0.419,0.82598996,0.10383,0.089090005,3538958592,2484438016,10841960448,651.73,366.0,384.275
CDNS,ai,"Cadence Design Systems, Inc.",91049615360,76.948715,35.117264,5528612864,0.187,0.86079,0.29699,0.21180001,1499152256,1546153984,3083354112,416.69,262.75,330.11
CRDO,ai,Credo Technology Group Holding ,37795340288,80.749,22.586277,1335116032,1.57,0.68035007,0.35661998,0.35374,250810128,1443286016,25448000,308.67,86.485,202.68
ALAB,ai,"Astera Labs, Inc.",52042874880,203.7718,69.51341,1001443968,0.934,0.75988996,0.20052,0.26724002,240004880,1184473984,41850000,499.476,97.89,303.62
MPWR,ai,"Monolithic Power Systems, Inc.",64458559488,94.32063,42.93365,2957090048,0.261,0.55175,0.29986998,0.22984,491719136,1367108992,19968000,1714.09,702.32,1312.0
ON,ai,ON Semiconductor Corporation,34003146752,64.242645,20.127441,6063000064,0.047,0.42665002,0.18232,0.09462,1282174976,2403599872,3245799936,134.92,44.56,87.37
INTC,ai,Intel Corporation,477671030784,,58.897167,53762998272,0.072,0.372,0.06879,-0.05904,-8301250048,32789000192,45030998016,142.35,18.97,95.04
COHR,ai,Coherent Corp.,54309478400,131.564,33.682697,6602083840,0.205,0.36990002,0.13572,0.07102,-197631744,2423729920,3425114880,440.0,84.35,277.6
LITE,ai,Lumentum Holdings Inc.,57013395456,128.11539,40.041878,2488399872,0.901,0.40837002,0.21771,0.17678,93350000,3172300032,3313700096,1085.68,97.551,732.82
CIEN,ai,Ciena Corporation,52998832128,124.80334,38.846626,5569149952,0.395,0.43047002,0.15195,0.0787,700927872,1202834048,1580579968,637.51,83.2,374.41
ANET,ai,"Arista Networks, Inc.",212308557824,57.74315,37.74155,9709899776,0.351,0.63537,0.42738998,0.38317,4362237440,12353200128,0,189.817,106.987,168.61
SMCI,ai,"Super Micro Computer, Inc.",15641390080,12.726316,7.7378225,33700206592,1.227,0.08394,0.061100002,0.03701,-7448383488,1305032960,9151156224,62.36,19.48,24.18
DELL,ai,Dell Technologies Inc.,256092078080,31.55573,18.404655,134001999872,0.875,0.19212,0.088570006,0.062750004,5434124800,11580999680,31924000768,469.47,110.22,396.34
HPE,ai,Hewlett Packard Enterprise Comp,60675006464,42.822426,11.4589815,38793998336,0.4,0.33776,0.087,0.040110003,3836000000,5292000256,21304000512,64.25,19.635,45.82
VRT,ai,"Vertiv Holdings, LLC",111222546432,72.93703,32.63328,10843400192,0.301,0.37151,0.16364999,0.14372,1964749952,2500499968,3264900096,379.935,118.7,289.56
STX,ai,,178209734656,74.65971,27.65697,11009999872,0.441,0.41571,0.35668,0.21599,1610000000,1146000000,4177999872,1145.0,138.3,787.66
WDC,ai,,164489216000,28.576046,25.730211,11777000448,0.455,0.45428002,0.37008998,0.55286,2075000064,3236999936,1724000000,799.87,66.04,477.22
PSTG,ai,,,,,,,,,,,,,,,
MOD,ai,Modine Manufacturing Company,12179600384,101.03084,20.240425,3181100032,0.475,0.23023,0.11829001,0.03819,-101450000,73500000,580099968,323.25,90.41,229.34
CRWV,ai,"CoreWeave, Inc.",39941206016,,-50.037933,6226999808,1.116,0.69375,-0.069299996,-0.25566,-8560327168,2265999872,35147001856,153.2,63.8,73.21
NBIS,ai,Nebius Group N.V.,45120249856,68.61391,491.97168,877900032,6.839,0.72058,-0.3208,0.93086,-6147975168,9373200384,9590400000,299.86,49.0,177.71
IREN,ai,IREN LIMITED,12015071232,43.66234,-35.765957,757073984,-0.0,0.68397003,-0.64468,0.20877,-2311044352,2213274112,3964912896,76.87,14.72,33.62
APLD,ai,Applied Digital Corporation,7369996800,,-20.96748,319262016,1.393,0.45409,-0.20466,-0.59472,-1496915328,1730439936,2827480064,50.725,9.79,25.79
